CodeOriginal,Code,Name,Native,Duration,Lifeform
0,0,0,0,0,0
ABPA3,ABPA3,Abutilon parvulum,Native,Perennial,Forb
ACMIS,ACMIS,Acmispon (Lotus),Native,Annual,Forb
AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb
AMDE4,AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub
AMMEI2,AMMEI2,Amsinckia menziesii,Native,Annual,Forb
AMPA,AMPA,Amaranthus palmeri,Native,Annual,Forb
AMSIN,AMSIN,Amsinckia,Native,Annual,Forb
ANCR2,ANCR2,Anoda cristata,Native,Annual,Forb
ANOC2,ANOC2,Androsace occidentalis,Native,Annual,Forb
ARAD,ARAD,Aristida adscensionis,Native,Annual,Grass
ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPUP6,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARTE3,ARTE3,Aristida ternipes,Native,Perennial,Grass
ARWA,ARWA,Aristolochia watsonii,Native,Perennial,Forb
ASNU4,ASNU4,Astragalus nuttallianus,Native,Unknown,Forb
ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb
BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb
BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass
BOCO,BOCO,Boerhavia coccinea,Native,Perennial,Forb
BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
BOER,BOER4,Bouteloua eriopoda,Native,Perennial,Grass
BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass
BOIN,BOIN,Boerhavia intermedia,Native,Annual,Forb
BOIN3,BOIN3,Bowlesia incana,Native,Annual,Forb
BORA,BORA,Bouteloua radicosa,Native,Perennial,Grass
BORO2,BORO2,Bouteloua rothrockii,Native,Perennial,Grass
BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass
CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb
CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb
CHBR,CHBR,Chorizanthe brevicornu,Native,Annual,Forb
CHFR3,CHFR3,Chenopodium fremontii,Native,Annual,Forb
CHHY3,CHHY3,Chamaesyce hyssopifolia,Native,Unknown,Forb
CHPO12,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb
CHVI4,CHVI4,Chloris virgata,Native,Annual,Grass
COCA5,COCA5,Conyza canadensis,Native,Annual,Forb
COCA8,COCA8,Coreopsis califonica,Native,Annual,Forb
CRAN4,CRAN4,Cryptantha angustifolia,Native,Annual,Forb
CRBA5,CRBA5,Cryptantha barbigera,Native,Annual,Forb
CRCO34,CRCO34,Crassula connata,Native,Annual,Forb
DAPU3,DAPU3,Daucus pusillus,Native,Annual,Forb
DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass
DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb
DICA14,DICA14,Dichelostemma capitatum,Native,Perennial,Forb
DICA8,DICA8,Digitaria californica,Native,Perennial,Grass
DRCUI,DRCUI,Draba cuneifolia,Native,Annual,Forb
DeadStem,DeadStem,Dead stem,Unknown,Unknown,Forb
ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass
ENFA,ENFA,Encelia farinosa,Native,Perennial,Shrub
ERAB2,ERAB2,Eriogonum abertianum,Native,Annual,Forb
