Code,n,perc_freq,Frequency,Plant,Plot,mix,Type
LOHU2,253,21.961805555555554,0.21961805555555552,Native recruit,Total,NA,"Native recruit, Total"
LOAR12,240,20.833333333333336,0.20833333333333337,Native recruit,Total,NA,"Native recruit, Total"
CHPO12,173,15.01736111111111,0.1501736111111111,Native recruit,Total,NA,"Native recruit, Total"
PERE,145,12.586805555555555,0.12586805555555555,Native recruit,Total,NA,"Native recruit, Total"
PLAR,131,11.371527777777777,0.11371527777777776,Native recruit,Total,NA,"Native recruit, Total"
VUOC,131,11.371527777777777,0.11371527777777776,Native recruit,Total,NA,"Native recruit, Total"
LAGR10,130,11.284722222222223,0.11284722222222224,Native recruit,Total,NA,"Native recruit, Total"
AMCO3,116,10.069444444444445,0.10069444444444445,Native recruit,Total,NA,"Native recruit, Total"
CRYSPP.SRER,94,8.159722222222223,0.08159722222222224,Native recruit,Total,NA,"Native recruit, Total"
PEPL,93,8.072916666666668,0.08072916666666669,Native recruit,Total,NA,"Native recruit, Total"
PEHE,92,7.986111111111111,0.0798611111111111,Native recruit,Total,NA,"Native recruit, Total"
PLPA2,87,7.552083333333333,0.07552083333333333,Native recruit,Total,NA,"Native recruit, Total"
DICA14,86,7.465277777777778,0.07465277777777778,Native recruit,Total,NA,"Native recruit, Total"
LUCO,70,6.076388888888888,0.06076388888888888,Native recruit,Total,NA,"Native recruit, Total"
ASNU4,66,5.729166666666666,0.05729166666666666,Native recruit,Total,NA,"Native recruit, Total"
PSCA11,66,5.729166666666666,0.05729166666666666,Native recruit,Total,NA,"Native recruit, Total"
ARAD,63,5.46875,0.0546875,Native recruit,Total,NA,"Native recruit, Total"
PLPR3,62,5.381944444444445,0.05381944444444445,Native recruit,Total,NA,"Native recruit, Total"
MENSPP.SRER,58,5.034722222222222,0.050347222222222224,Native recruit,Total,NA,"Native recruit, Total"
ERPA11,57,4.947916666666666,0.04947916666666666,Native recruit,Total,NA,"Native recruit, Total"
LACA7,51,4.427083333333334,0.04427083333333334,Native recruit,Total,NA,"Native recruit, Total"
MONU,49,4.253472222222222,0.042534722222222224,Native recruit,Total,NA,"Native recruit, Total"
AMMEI2,46,3.9930555555555554,0.03993055555555555,Native recruit,Total,NA,"Native recruit, Total"
LOSTT,46,3.9930555555555554,0.03993055555555555,Native recruit,Total,NA,"Native recruit, Total"
PECTO,46,3.9930555555555554,0.03993055555555555,Native recruit,Total,NA,"Native recruit, Total"
CACI2,44,3.8194444444444446,0.03819444444444445,Native recruit,Total,NA,"Native recruit, Total"
MEAL6,40,3.4722222222222223,0.034722222222222224,Native recruit,Total,NA,"Native recruit, Total"
SIDSPP.SRER,38,3.298611111111111,0.03298611111111111,Native recruit,Total,NA,"Native recruit, Total"
GIST,35,3.038194444444444,0.03038194444444444,Native recruit,Total,NA,"Native recruit, Total"
MOVE,35,3.038194444444444,0.03038194444444444,Native recruit,Total,NA,"Native recruit, Total"
CRYPT.Pleasant,34,2.951388888888889,0.029513888888888888,Native recruit,Total,NA,"Native recruit, Total"
SIAN2,34,2.951388888888889,0.029513888888888888,Native recruit,Total,NA,"Native recruit, Total"
DAPU3,32,2.7777777777777777,0.027777777777777776,Native recruit,Total,NA,"Native recruit, Total"
LOSQ,32,2.7777777777777777,0.027777777777777776,Native recruit,Total,NA,"Native recruit, Total"
ESCA2,30,2.604166666666667,0.02604166666666667,Native recruit,Total,NA,"Native recruit, Total"
TRMU,29,2.517361111111111,0.025173611111111112,Native recruit,Total,NA,"Native recruit, Total"
LUSP2,28,2.430555555555556,0.02430555555555556,Native recruit,Total,NA,"Native recruit, Total"
SACO6,28,2.430555555555556,0.02430555555555556,Native recruit,Total,NA,"Native recruit, Total"
DAPU7,27,2.34375,0.0234375,Native recruit,Total,NA,"Native recruit, Total"
STGN,27,2.34375,0.0234375,Native recruit,Total,NA,"Native recruit, Total"
CRAN4,26,2.256944444444444,0.02256944444444444,Native recruit,Total,NA,"Native recruit, Total"
HAPAA,26,2.256944444444444,0.02256944444444444,Native recruit,Total,NA,"Native recruit, Total"
CRCO34,25,2.170138888888889,0.021701388888888888,Native recruit,Total,NA,"Native recruit, Total"
LELA,23,1.9965277777777777,0.019965277777777776,Native recruit,Total,NA,"Native recruit, Total"
DEPI,22,1.9097222222222223,0.019097222222222224,Native recruit,Total,NA,"Native recruit, Total"
BOUSPP.SRER,21,1.8229166666666667,0.018229166666666668,Native recruit,Total,NA,"Native recruit, Total"
